rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
1,Priest Holmes,KAN,RB,29,14,14,0,1,0,0,0,313,1615,5.16,21,81.0,70,672,9.6,3,1.0,1.0,24,0.0,0.0,371.0,440.7,447.7,405.7,220.0,1,1.0
2,Ricky Williams,MIA,RB,25,16,16,0,0,0,0,0,383,1853,4.84,16,59.0,47,363,7.72,1,7.0,4.0,17,0.0,0.0,316.0,362.6,372.6,339.1,165.0,2,2.0
3,LaDainian Tomlinson,SDG,RB,23,16,16,0,0,0,0,0,372,1683,4.52,14,101.0,79,489,6.19,1,3.0,1.0,15,0.0,0.0,305.0,384.2,391.2,344.7,155.0,3,3.0
4,Clinton Portis,DEN,RB,21,16,12,0,0,0,0,0,273,1508,5.52,15,49.0,33,364,11.03,2,5.0,3.0,17,0.0,0.0,283.0,316.2,325.2,299.7,133.0,4,4.0
5,Marvin Harrison,IND,WR,30,16,16,0,0,0,0,0,2,10,5.0,0,205.0,143,1722,12.04,11,0.0,0.0,11,1.0,0.0,241.0,384.2,387.2,312.7,122.0,1,5.0
6,Shaun Alexander,SEA,RB,25,16,16,0,0,0,0,0,295,1175,3.98,16,78.0,59,460,7.8,2,3.0,1.0,18,0.0,0.0,270.0,328.5,335.5,299.0,119.0,5,6.0
7,Deuce McAllister,NOR,RB,24,15,15,0,0,0,0,0,325,1388,4.27,13,74.0,47,352,7.49,3,4.0,3.0,16,0.0,0.0,264.0,311.0,320.0,287.5,114.0,6,7.0
8,Hines Ward,PIT,WR,26,16,16,0,0,0,0,0,12,142,11.83,0,160.0,112,1329,11.87,12,1.0,1.0,12,3.0,1.0,225.0,337.1,344.1,281.1,106.0,2,8.0
9,Charlie Garner,OAK,RB,30,16,15,0,0,0,0,0,182,962,5.29,7,111.0,91,941,10.34,4,0.0,0.0,11,0.0,0.0,256.0,347.3,353.3,301.8,106.0,7,9.0
10,Terrell Owens,SFO,WR,29,14,14,0,0,0,0,0,7,79,11.29,1,159.0,100,1300,13.0,13,0.0,0.0,14,0.0,0.0,222.0,321.9,324.9,271.9,103.0,3,10.0
11,Tiki Barber,NYG,RB,27,16,15,0,0,0,0,0,304,1387,4.56,11,95.0,69,597,8.65,0,9.0,6.0,11,0.0,0.0,252.0,321.4,333.4,286.9,102.0,8,11.0
12,Travis Henry,BUF,RB,24,16,16,0,0,0,0,0,325,1438,4.42,13,59.0,43,309,7.19,1,11.0,9.0,14,0.0,0.0,241.0,283.7,298.7,262.2,90.0,9,12.0
13,Rich Gannon,OAK,QB,37,16,16,418,618,4689,26,10,50,156,3.12,3,0.0,0,0,0.0,0,9.0,3.0,3,0.0,2.0,303.0,303.2,322.2,313.2,82.0,1,13.0
14,Eddie George,TEN,RB,29,16,16,0,0,0,0,0,343,1165,3.4,12,46.0,36,255,7.08,2,1.0,1.0,14,0.0,0.0,224.0,260.0,267.0,242.0,74.0,10,14.0
15,Eric Moulds,BUF,WR,29,16,15,0,0,0,0,0,1,7,7.0,0,180.0,100,1292,12.92,10,1.0,0.0,10,0.0,0.0,190.0,289.9,292.9,239.9,71.0,4,15.0
16,Fred Taylor,JAX,RB,26,16,16,0,0,0,0,0,287,1314,4.58,8,57.0,49,408,8.33,0,3.0,2.0,8,1.0,0.0,218.0,267.2,275.2,242.7,68.0,11,16.0
17,Randy Moss,MIN,WR,25,16,16,1,3,13,1,0,6,51,8.5,0,185.0,106,1347,12.71,7,1.0,1.0,7,0.0,0.0,184.0,290.3,294.3,237.3,65.0,5,17.0
18,Amani Toomer,NYG,WR,28,16,16,0,0,0,0,0,1,2,2.0,0,134.0,82,1343,16.38,8,0.0,0.0,8,0.0,0.0,183.0,264.5,267.5,223.5,63.0,6,18.0
19,Daunte Culpepper,MIN,QB,25,16,16,333,549,3853,18,23,106,609,5.75,10,0.0,0,0,0.0,0,23.0,9.0,10,1.0,0.0,285.0,285.0,323.0,308.0,63.0,2,19.0
20,Todd Heap,BAL,TE,22,16,16,0,1,0,0,0,4,38,9.5,0,122.0,68,836,12.29,6,0.0,0.0,6,1.0,0.0,125.0,193.4,196.4,159.4,63.0,1,20.0
21,Michael Vick,ATL,QB,22,15,15,231,421,2936,16,8,113,777,6.88,8,1.0,0,16,0.0,0,9.0,5.0,8,0.0,0.0,283.0,282.7,301.7,290.7,61.0,3,21.0
22,Ahman Green,GNB,RB,25,14,14,0,0,0,0,0,286,1240,4.34,7,74.0,57,393,6.89,2,4.0,3.0,9,0.0,0.0,211.0,268.3,277.3,239.8,61.0,12,22.0
23,Peerless Price,BUF,WR,26,16,16,0,0,0,0,0,3,-13,-4.33,0,148.0,94,1252,13.32,9,2.0,1.0,9,0.0,0.0,176.0,269.9,273.9,222.9,57.0,7,23.0
24,Duce Staley,PHI,RB,27,16,16,0,0,0,0,0,269,1029,3.83,5,69.0,51,541,10.61,3,3.0,0.0,8,1.0,0.0,207.0,258.0,264.0,232.5,57.0,13,24.0
25,Tony Gonzalez,KAN,TE,26,16,16,0,0,0,0,0,0,0,0.0,0,99.0,63,773,12.27,7,0.0,0.0,7,0.0,0.0,119.0,182.3,185.3,150.8,56.0,2,25.0
26,Joe Horn,NOR,WR,30,16,16,0,0,0,0,0,1,2,2.0,0,149.0,88,1312,14.91,7,1.0,0.0,7,1.0,0.0,175.0,263.4,266.4,219.4,56.0,8,26.0
27,Plaxico Burress,PIT,WR,25,16,15,0,0,0,0,0,0,0,0.0,0,144.0,78,1325,16.99,7,2.0,1.0,7,1.0,0.0,175.0,252.5,256.5,213.5,55.0,9,27.0
28,Jamal Lewis,BAL,RB,23,16,15,0,0,0,0,0,308,1327,4.31,6,60.0,47,442,9.4,1,8.0,7.0,7,0.0,0.0,205.0,251.9,264.9,228.4,55.0,14,28.0
29,Marshall Faulk,STL,RB,29,14,10,0,0,0,0,0,212,953,4.5,8,102.0,80,537,6.71,2,4.0,3.0,10,0.0,0.0,203.0,283.0,292.0,243.0,53.0,15,29.0
30,Corey Dillon,CIN,RB,28,16,16,0,0,0,0,0,314,1311,4.18,7,61.0,43,298,6.93,0,5.0,2.0,7,0.0,0.0,199.0,241.9,249.9,220.4,49.0,16,30.0
31,Donald Driver,GNB,WR,27,16,16,0,0,0,0,0,8,70,8.75,0,113.0,70,1064,15.2,9,1.0,1.0,9,0.0,0.0,165.0,235.4,239.4,200.4,46.0,10,31.0
32,Michael Bennett,MIN,RB,24,16,16,0,0,0,0,0,255,1296,5.08,5,41.0,37,351,9.49,1,4.0,3.0,6,0.0,0.0,195.0,231.7,240.7,213.2,44.0,17,32.0
33,Jerry Rice,OAK,WR,40,16,16,0,0,0,0,0,3,20,6.67,0,150.0,92,1211,13.16,7,1.0,1.0,7,0.0,0.0,163.0,255.1,259.1,209.1,44.0,11,33.0
34,Laveranues Coles,NYJ,WR,25,16,16,0,0,0,0,0,6,39,6.5,0,134.0,89,1264,14.2,5,1.0,0.0,5,1.0,0.0,162.0,251.3,254.3,206.8,43.0,12,34.0
35,Peyton Manning,IND,QB,26,16,16,392,591,4200,27,19,38,148,3.89,2,0.0,0,0,0.0,0,6.0,2.0,2,0.0,2.0,265.0,264.8,291.8,283.8,43.0,4,35.0
36,Marty Booker,CHI,WR,26,16,16,1,5,44,1,0,0,0,0.0,0,168.0,97,1189,12.26,6,0.0,0.0,6,0.0,0.0,161.0,257.7,260.7,209.2,42.0,13,36.0
37,Koren Robinson,SEA,WR,22,16,16,0,0,0,0,0,8,56,7.0,0,141.0,78,1240,15.9,5,2.0,0.0,5,0.0,0.0,160.0,237.6,240.6,198.6,41.0,14,37.0
38,Curtis Martin,NYJ,RB,29,16,16,0,0,0,0,0,261,1094,4.19,7,56.0,49,362,7.39,0,0.0,0.0,7,1.0,0.0,190.0,238.6,244.6,214.1,39.0,18,38.0
39,Torry Holt,STL,WR,26,16,11,0,0,0,0,0,2,18,9.0,0,160.0,91,1302,14.31,4,1.0,1.0,4,0.0,0.0,154.0,245.0,249.0,199.5,35.0,15,39.0
40,Aaron Brooks,NOR,QB,26,16,16,283,528,3572,27,15,62,253,4.08,2,0.0,0,0,0.0,0,11.0,5.0,2,2.0,2.0,256.0,256.2,282.2,271.2,35.0,5,40.0
41,Jeremy Shockey,NYG,TE,22,15,14,0,0,0,0,0,0,0,0.0,0,128.0,74,894,12.08,2,3.0,2.0,2,0.0,0.0,97.0,171.4,176.4,134.4,35.0,3,41.0
42,Trent Green,KAN,QB,32,16,16,287,470,3690,26,13,31,225,7.26,1,0.0,0,0,0.0,0,1.0,0.0,1,1.0,0.0,256.0,256.1,275.1,269.1,34.0,6,42.0
43,Steve McNair,TEN,QB,29,16,16,301,492,3387,22,15,82,440,5.37,3,0.0,0,0,0.0,0,9.0,2.0,3,2.0,0.0,255.0,255.5,278.5,270.5,34.0,7,43.0
44,Jeff Garcia,SFO,QB,32,16,16,328,528,3344,21,10,73,353,4.84,3,0.0,0,0,0.0,0,2.0,2.0,3,1.0,3.0,255.0,255.1,273.1,265.1,33.0,8,44.0
45,Rod Gardner,WAS,WR,25,16,15,0,1,0,0,0,1,1,1.0,0,141.0,71,1006,14.17,8,1.0,0.0,8,0.0,0.0,149.0,219.7,222.7,184.2,30.0,16,45.0
46,Drew Bledsoe,BUF,QB,30,16,16,375,610,4359,24,15,27,67,2.48,2,0.0,0,0,0.0,0,11.0,4.0,2,0.0,0.0,251.0,251.1,273.1,266.1,29.0,9,46.0
47,Garrison Hearst,SFO,RB,31,16,16,0,0,0,0,0,215,972,4.52,8,69.0,48,317,6.6,1,4.0,3.0,9,1.0,0.0,179.0,226.9,235.9,202.9,29.0,19,47.0
48,Bubba Franks,GNB,TE,24,16,15,1,1,31,1,0,0,0,0.0,0,71.0,54,442,8.19,7,0.0,0.0,7,0.0,0.0,91.0,145.4,148.4,118.4,29.0,4,48.0
49,Isaac Bruce,STL,WR,30,16,16,0,0,0,0,0,3,18,6.0,0,130.0,79,1075,13.61,7,2.0,2.0,7,0.0,0.0,147.0,226.3,231.3,186.8,28.0,17,49.0
50,Warrick Dunn,ATL,RB,27,15,14,0,0,0,0,0,230,927,4.03,7,66.0,50,377,7.54,2,4.0,3.0,9,0.0,0.0,178.0,228.4,237.4,203.4,28.0,20,50.0
51,Jimmy Smith,JAX,WR,33,16,16,0,0,0,0,0,1,2,2.0,0,137.0,80,1027,12.84,7,0.0,0.0,7,1.0,0.0,147.0,226.9,229.9,186.9,28.0,18,51.0
52,Chad Johnson,CIN,WR,24,16,14,0,0,0,0,0,0,0,0.0,0,137.0,69,1166,16.9,5,0.0,0.0,5,0.0,0.0,147.0,215.6,218.6,181.1,28.0,19,52.0
53,Tom Brady,NWE,QB,25,16,16,373,601,3764,28,14,42,110,2.62,1,0.0,0,0,0.0,0,11.0,5.0,1,0.0,2.0,246.0,245.6,270.6,259.6,24.0,10,53.0
54,Keyshawn Johnson,TAM,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,142.0,76,1088,14.32,5,0.0,0.0,5,2.0,0.0,143.0,218.8,221.8,180.8,24.0,20,54.0
55,Shannon Sharpe,DEN,TE,34,13,13,0,0,0,0,0,0,0,0.0,0,88.0,61,686,11.25,3,0.0,0.0,3,0.0,0.0,87.0,147.6,150.6,117.1,24.0,5,55.0
56,James Stewart,DET,RB,31,14,9,0,1,0,0,0,231,1021,4.42,4,70.0,46,333,7.24,2,0.0,0.0,6,0.0,0.0,171.0,217.4,223.4,194.4,21.0,21,56.0
57,Marcus Pollard,IND,TE,30,15,15,0,0,0,0,0,0,0,0.0,0,69.0,43,478,11.12,6,1.0,1.0,6,1.0,0.0,84.0,126.8,130.8,105.3,21.0,6,57.0
58,Marcel Shipp,ARI,RB,24,15,6,0,0,0,0,0,188,834,4.44,6,49.0,38,413,10.87,3,4.0,4.0,9,0.0,0.0,171.0,208.7,218.7,189.7,20.0,22,58.0
59,Antowain Smith,NWE,RB,30,16,15,0,0,0,0,0,252,982,3.9,6,42.0,31,243,7.84,2,2.0,1.0,8,1.0,0.0,171.0,201.5,208.5,186.0,20.0,23,59.0
60,Quincy Morgan,CLE,WR,25,16,16,0,0,0,0,0,3,7,2.33,0,97.0,56,964,17.21,7,2.0,2.0,7,1.0,0.0,137.0,193.1,198.1,165.1,18.0,21,60.0
61,Billy Miller,HOU,TE,25,16,7,0,0,0,0,0,0,0,0.0,0,80.0,51,613,12.02,3,0.0,0.0,3,0.0,0.0,79.0,130.3,133.3,104.8,16.0,7,61.0
62,Travis Taylor,BAL,WR,24,16,15,0,0,0,0,0,11,105,9.55,0,118.0,61,869,14.25,6,0.0,0.0,6,0.0,0.0,133.0,194.4,200.4,163.9,14.0,22,62.0
63,Alge Crumpler,ATL,TE,25,16,9,0,0,0,0,0,0,0,0.0,0,58.0,36,455,12.64,5,0.0,0.0,5,0.0,0.0,76.0,111.5,114.5,93.5,13.0,8,63.0
64,Rod Smith,DEN,WR,32,16,16,0,1,0,0,0,6,9,1.5,0,147.0,89,1027,11.54,5,1.0,1.0,5,0.0,0.0,132.0,220.6,224.6,176.1,13.0,23,64.0
65,Derrick Mason,TEN,WR,28,14,14,0,0,0,0,0,0,0,0.0,0,125.0,79,1012,12.81,5,2.0,1.0,5,0.0,0.0,129.0,208.2,212.2,168.7,10.0,24,65.0
66,Curtis Conway,SDG,WR,31,13,13,0,0,0,0,0,7,53,7.57,2,94.0,57,852,14.95,5,2.0,2.0,7,0.0,0.0,129.0,185.5,190.5,157.0,9.0,25,66.0
67,Joey Galloway,DAL,WR,31,16,16,0,0,0,0,0,4,31,7.75,0,120.0,61,908,14.89,6,2.0,1.0,6,0.0,0.0,128.0,188.9,192.9,158.4,9.0,26,67.0
68,Randy McMichael,MIA,TE,23,16,16,0,0,0,0,0,1,8,8.0,0,68.0,39,485,12.44,4,1.0,1.0,4,0.0,0.0,71.0,110.3,114.3,90.8,8.0,9,68.0
69,Jerry Porter,OAK,WR,24,16,14,0,0,0,0,0,4,6,1.5,0,70.0,51,688,13.49,9,0.0,0.0,9,2.0,0.0,127.0,178.4,181.4,152.9,8.0,27,69.0
70,Kyle Brady,JAX,TE,30,16,16,0,0,0,0,0,0,0,0.0,0,67.0,43,461,10.72,4,0.0,0.0,4,0.0,0.0,70.0,113.1,116.1,91.6,7.0,10,70.0
71,Christian Fauria,NWE,TE,31,16,13,0,0,0,0,0,0,0,0.0,0,40.0,27,253,9.37,7,0.0,0.0,7,1.0,0.0,69.0,96.3,99.3,82.8,6.0,11,71.0
